id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2282114,*Lux West Side Oasis*,19916,Cathy + Tom,,Dunbar Southlands,49.23932938063421,-123.18119261498013,Entire home/apt,500,10,12,2018-08-31,0.27,2,280
2285007,"1br Gastown Condo w/ Hot Tub, Sauna & Free Parking",845865,Mike,,Downtown,49.27883887910805,-123.10686380158168,Entire home/apt,275,3,57,2018-06-19,1.03,1,13
2299515,Z - Modern Yaletown Apt 17th flr 2 Beds,5268156,Sharon & Allan,,Downtown,49.279168383493456,-123.12401790132654,Entire home/apt,85,30,92,2018-05-30,1.68,6,48
2305147,Magazine Featured - Walk Everywhere!,11773942,Ness,,Mount Pleasant,49.260365477940766,-123.09783622615906,Entire home/apt,195,4,13,2018-08-26,0.50,1,80
2346069,Downtown Vancouver Penthouse,812661,Andrew,,Downtown,49.27543833812773,-123.11480676418077,Entire home/apt,135,30,8,2017-06-30,0.15,1,365
2361393,New Cozy Suite near Grays Park,366483,Michelle,,Kensington-Cedar Cottage,49.240871518097016,-123.08622857319,Entire home/apt,112,30,114,2018-08-26,2.25,1,191
2365994,Gem Modern Apartment in Yaletown,12014048,Hayfa,,Downtown,49.2826710431327,-123.12315770885137,Entire home/apt,99,30,87,2018-08-18,1.57,1,185
2387501,"Garden suite, loft flair, WIFI/Cbl, monthly stay!",31065,Mj,,Sunset,49.22376105265983,-123.07966864688915,Entire home/apt,75,31,375,2018-08-31,6.82,3,213
2400461,Lakeside Modern Architectural Home sleeps 6,2655554,Kristen & Ed,,Kensington-Cedar Cottage,49.25958187205514,-123.06555458522615,Entire home/apt,341,31,9,2018-06-30,0.21,2,337
2446828,Big Orange House,9080044,Nienke And Geoff,,Mount Pleasant,49.25866495345465,-123.0914949888512,Entire home/apt,150,2,157,2018-08-26,3.15,1,198
2454353,Vancouver Quality Coach House,10997524,Mark & Fran,,Kensington-Cedar Cottage,49.23777180770401,-123.08696424474276,Entire home/apt,125,30,174,2018-08-27,3.20,1,45
